Edad,Fecha de nacimiento,Sexo,Lugar de residencia,Composición del hogar,Grado de consanguinidad,Número de personas con quienes vive,Profesión de los padres,Nivel escolar,Rendimiento académico promedio,Antecedentes de maltrato familiar o escolar,Participa en actividades extracurriculares,Usa redes sociales activamente,Contactó de forma inapropiada en redes,Involucrado en otros incidentes de agresión,Conocía a la víctima,Antecedentes penales o disciplinarios,Trastorno psicológico o adicción,Atención psicológica previa,Se siente arrepentido,Reconoce que su comportamiento fue incorrecto,Premeditado o impulsivo,Violencia física o amenazas,Actuó solo o con otras personas,Edad inicio consumo pornográfico,Contenido violento o explícito en material
14,2007-01-26,Femenino,South Rachel,Monoparental,Tios,4,Desempleado,Secundaria,5,Sí,No,Sí,Sí,Sí,No,No,Sí,Sí,Sí,No,Impulsivo,No,Solo,14,Sí
16,2022-02-09,Femenino,South Juanville,Monoparental,Otros familiares,1,Obrero,Técnico,8,No,No,No,No,No,No,Sí,No,No,Sí,No,Impulsivo,Sí,Solo,7,No
13,2022-08-30,Femenino,Barnesville,Extendida,Otros familiares,6,Profesor,Universitario,4,Sí,No,No,Sí,No,Sí,Sí,No,Sí,No,Sí,Premeditado,No,Solo,6,No
4,2023-07-04,Masculino,Solisberg,Extendida,Otros familiares,1,Profesor,Secundaria,1,No,No,No,No,Sí,Sí,No,No,Sí,Sí,No,Premeditado,Sí,Con otras personas,7,Sí
9,2017-08-24,Masculino,South Jennifer,Extendida,Tios,1,Empresario,Secundaria,3,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Premeditado,Sí,Solo,12,Sí
11,2007-06-06,Masculino,East Allen,Extendida,Padres,5,Empresario,Secundaria,4,Sí,No,No,No,No,No,No,Sí,Sí,No,Sí,Impulsivo,No,Solo,14,No
12,2018-11-21,Otro,Morenoburgh,Nuclear,Padres,6,Profesor,Universitario,1,Sí,Sí,Sí,No,No,Sí,No,No,Sí,Sí,No,Premeditado,Sí,Con otras personas,12,Sí
13,2018-02-18,Femenino,Reedshire,Nuclear,Abuelos,3,Desempleado,Primaria,4,No,No,Sí,No,Sí,No,No,Sí,No,Sí,Sí,Impulsivo,Sí,Solo,6,No
17,2017-06-15,Otro,Taylorton,Extendida,Padres,2,Empresario,Secundaria,7,No,No,Sí,Sí,No,No,Sí,Sí,Sí,No,Sí,Impulsivo,No,Solo,12,Sí
11,2008-01-11,Masculino,Dwayneshire,Nuclear,Abuelos,4,Obrero,Primaria,3,No,Sí,No,No,Sí,Sí,Sí,Sí,No,Sí,Sí,Premeditado,Sí,Con otras personas,11,Sí
14,2007-06-22,Femenino,North Erin,Extendida,Padres,2,Profesional,Universitario,6,Sí,No,Sí,No,Sí,Sí,Sí,No,No,Sí,No,Premeditado,No,Solo,6,No
10,2023-05-20,Masculino,Huffmanmouth,Monoparental,Padres,5,Obrero,Técnico,8,No,Sí,No,Sí,No,No,Sí,No,Sí,No,Sí,Impulsivo,Sí,Solo,7,Sí
5,2019-07-11,Femenino,Whiteberg,Nuclear,Abuelos,7,Profesor,Secundaria,8,Sí,No,Sí,Sí,No,Sí,Sí,Sí,Sí,No,Sí,Impulsivo,No,Solo,14,No
14,2011-03-10,Femenino,Matthewmouth,Monoparental,Abuelos,7,Obrero,Primaria,5,No,No,No,No,No,No,No,No,No,No,No,Impulsivo,Sí,Con otras personas,6,No
5,2020-01-20,Otro,West Benjamin,Monoparental,Abuelos,6,Profesional,Secundaria,5,No,No,No,No,No,No,Sí,Sí,Sí,Sí,Sí,Impulsivo,No,Con otras personas,10,Sí
6,2012-11-27,Femenino,Port William,Monoparental,Hermanos,3,Profesor,Técnico,8,No,No,Sí,Sí,No,Sí,Sí,Sí,No,No,No,Impulsivo,No,Solo,9,Sí
10,2020-02-29,Otro,Gomezborough,Monoparental,Hermanos,3,Empleado público,Universitario,4,Sí,No,Sí,Sí,Sí,No,No,Sí,No,Sí,Sí,Premeditado,No,Con otras personas,8,Sí
1,2018-05-21,Masculino,Victorfort,Nuclear,Hermanos,7,Profesional,Secundaria,9,No,Sí,Sí,No,Sí,Sí,Sí,No,Sí,No,Sí,Impulsivo,No,Con otras personas,7,No
17,2006-08-29,Femenino,Stephensonland,Nuclear,Tios,4,Obrero,Secundaria,7,Sí,Sí,Sí,No,No,No,No,No,No,Sí,Sí,Impulsivo,Sí,Con otras personas,7,No
17,2016-09-30,Otro,Smithville,Monoparental,Otros familiares,2,Desempleado,Técnico,3,No,No,No,No,No,Sí,No,No,No,No,No,Impulsivo,Sí,Solo,12,No
10,2008-04-03,Otro,Harrismouth,Monoparental,Hermanos,4,Empresario,Universitario,2,No,No,Sí,Sí,Sí,Sí,No,No,Sí,Sí,No,Impulsivo,Sí,Con otras personas,9,Sí
6,2008-01-22,Otro,Campbellshire,Extendida,Padres,4,Profesional,Técnico,1,Sí,Sí,Sí,No,Sí,No,No,No,No,No,Sí,Impulsivo,Sí,Con otras personas,12,Sí
4,2010-12-22,Otro,Lake Jenniferchester,Extendida,Abuelos,6,Obrero,Universitario,7,No,Sí,Sí,Sí,Sí,No,Sí,No,No,No,No,Impulsivo,No,Con otras personas,6,No
13,2014-10-06,Femenino,Carolineside,Nuclear,Hermanos,3,Obrero,Universitario,6,No,Sí,Sí,No,No,Sí,No,Sí,No,No,No,Impulsivo,No,Solo,8,Sí
4,2017-04-25,Otro,Lake Rebeccaburgh,Monoparental,Hermanos,6,Obrero,Técnico,3,No,No,No,Sí,No,No,Sí,Sí,No,Sí,No,Impulsivo,Sí,Solo,10,No
